 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   4   0  16   0.353800E-07   0.320100E-08   0.216500E-08
   4   0  17   0.321500E-07   0.318900E-08   0.211000E-08
   4   0  18   0.283600E-07   0.315100E-08   0.205900E-08
   4   0  19   0.242500E-07   0.310600E-08   0.200200E-08
   4   0  20   0.200800E-07   0.308000E-08   0.192100E-08
   4   0  21   0.161000E-07   0.311000E-08   0.180100E-08
   4   0  22   0.125100E-07   0.323000E-08   0.163200E-08
   4   0  23   0.938500E-08   0.346200E-08   0.142100E-08
   4   0  24   0.670700E-08   0.380800E-08   0.118700E-08
   4   0  25   0.438200E-08   0.423000E-08   0.955100E-09
   4   1   0   0.000000E+00   0.000000E+00   0.127958E-06
   4   1   1   0.000000E+00   0.932083E-07   0.465772E-07
   4   1   2   0.740162E-07   0.667874E-07   0.215465E-07
   4   1   3   0.122071E-06   0.626181E-07   0.895495E-08
   4   1   4   0.166872E-06   0.613317E-07   0.267629E-08
   4   1   5   0.209680E-06   0.609239E-07   0.250159E-09
   4   1   6   0.249121E-06   0.608754E-07   0.198604E-09
   4   1   7   0.283270E-06   0.609909E-07   0.149902E-08
   4   1   8   0.310242E-06   0.611724E-07   0.342780E-08
   4   1   9   0.328646E-06   0.613695E-07   0.548980E-08
   4   1  10   0.337512E-06   0.615563E-07   0.737000E-08
   4   1  11   0.336810E-06   0.617254E-07   0.888562E-08
   4   1  12   0.326868E-06   0.618921E-07   0.993944E-08
   4   1  13   0.308711E-06   0.620797E-07   0.105106E-07
   4   1  14   0.283861E-06   0.623159E-07   0.106215E-07
   4   1  15   0.254000E-06   0.626300E-07   0.103300E-07
   4   1  16   0.220700E-06   0.630200E-07   0.970100E-08
   4   1  17   0.185700E-06   0.634600E-07   0.883400E-08
   4   1  18   0.150300E-06   0.638700E-07   0.781600E-08
   4   1  19   0.115800E-06   0.641100E-07   0.673300E-08
   4   1  20   0.832200E-07   0.640400E-07   0.565100E-08
   4   1  21   0.538300E-07   0.635000E-07   0.461600E-08
   4   1  22   0.290900E-07   0.623700E-07   0.365200E-08
   4   1  23   0.108200E-07   0.606100E-07   0.276900E-08
   4   1  24   0.106100E-08   0.582400E-07   0.197800E-08
   4   1  25   0.187300E-08   0.552400E-07   0.129400E-08
