@Levels of the SO molecule
#489          # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Vibrational quantum number
#N            # Rotationnal moment
#J            # Total angular momentum - J = N + S
# n      g       E(K)                  OP   v    N    J     E(cm-1)
#---data read without format ----------#------ READ WITH FORMAT -----------
  226     95.0        2426.648672      n    0   48   47  1686.605276
  227     97.0        2433.670926      n    0   48   48  1691.485987
  228     59.0        2473.248966      n    1   28   29  1718.994102
  229     55.0        2474.445197      n    1   28   27  1719.825524
  230     57.0        2481.490630      n    1   28   28  1724.722345
  231    101.0        2525.893480      n    0   49   50  1755.583871
  232     97.0        2527.116463      n    0   49   48  1756.433887
  233     61.0        2532.526374      n    1   29   30  1760.193963
  234     57.0        2533.714674      n    1   29   28  1761.019873
  235     99.0        2534.136191      n    0   49   49  1761.312842
  236     59.0        2540.765777      n    1   29   29  1765.920635
  237     63.0        2593.835462      n    1   30   31  1802.805913
  238     59.0        2595.017442      n    1   30   29  1803.627430
  239     61.0        2602.073360      n    1   30   30  1808.531539
  240    103.0        2628.370812      n    0   50   51  1826.809183
  241     99.0        2629.602441      n    0   50   49  1827.665208
  242    101.0        2636.619489      n    0   50   50  1832.542301
  243     65.0        2657.175123      n    1   31   32  1846.829182
  244     61.0        2658.352240      n    1   31   30  1847.647319
  245     63.0        2665.412206      n    1   31   31  1852.554241
  246     67.0        2722.544204      n    1   32   33  1892.262968
  247     63.0        2723.717781      n    1   32   31  1893.078645
  248     65.0        2730.781101      n    1   32   32  1897.987898
  249    105.0        2732.864036      n    0   51   52  1899.435610
  250    101.0        2734.104640      n    0   51   50  1900.297873
  251    103.0        2741.118864      n    0   51   51  1905.173003
  252     69.0        2789.941504      n    1   33   34  1939.106437
  253     65.0        2791.112751      n    1   33   32  1939.920494
  254     67.0        2798.178794      n    1   33   33  1944.831640
  255    107.0        2839.371160      n    0   52   53  1973.461768
  256    103.0        2840.621050      n    0   52   51  1974.330485
  257    105.0        2847.632318      n    0   52   52  1979.203560
  258     71.0        2859.365775      n    1   34   35  1987.358721
  259     67.0        2860.535795      n    1   34   33  1988.171926
  260     69.0        2867.603994      n    1   34   34  1993.084570
  261     73.0        2930.815729      n    1   35   36  2037.018926
  262     69.0        2931.985537      n    1   35   34  2037.831983
  263     71.0        2939.055370      n    1   35   35  2042.745763
  264    109.0        2947.890157      n    0   53   54  2048.886247
  265    105.0        2949.149627      n    0   53   52  2049.761623
  266    107.0        2956.157813      n    0   53   53  2054.632556
  267     75.0        3004.290035      n    1   36   37  2088.086125
  268     71.0        3005.460560      n    1   36   35  2088.899681
  269     73.0        3012.531553      n    1   36   36  2093.814267
  270    111.0        3058.418954      n    0   54   55  2125.707608
  271    107.0        3059.688287      n    0   54   53  2126.589838
  272    109.0        3066.693273      n    0   54   54  2131.458547
  273     77.0        3079.787312      n    1   37   38  2140.559360
  274     73.0        3080.959414      n    1   37   36  2141.374012
  275     75.0        3088.031134      n    1   37   37  2146.289103
  276     79.0        3157.306144      n    1   38   39  2194.437646
  277     75.0        3158.480615      n    1   38   37  2195.253944
  278     77.0        3165.552665      n    1   38   38  2200.169265
  279    113.0        3170.955445      n    0   55   56  2203.924385
  280    109.0        3172.234903      n    0   55   54  2204.813653
  281    111.0        3179.236580      n    0   55   55  2209.680062
  282     81.0        3236.845069      n    1   39   40  2249.719967
  283     77.0        3238.022643      n    1   39   38  2250.538422
  284     79.0        3245.094659      n    1   39   39  2255.453719
  285      1.0        3256.252904      n    2    1    0  2263.209088
  286      3.0        3257.687589      n    2    0    1  2264.206244
  287      5.0        3260.684838      n    2    1    2  2266.289436
  288      7.0        3265.398579      n    2    2    3  2269.565650
  289      3.0        3271.616646      n    2    1    1  2273.887423
  290      9.0        3271.944463      n    2    3    4  2274.115267
  291      3.0        3272.214840      n    2    2    1  2274.303189
  292      5.0        3275.682566      n    2    2    2  2276.713379
  293      5.0        3277.349232      n    2    3    2  2277.871770
  294     11.0        3280.395514      n    2    4    5  2279.989042
  295      7.0        3281.781349      n    2    3    3  2280.952245
  296      7.0        3284.832757      n    2    4    3  2283.073080
  297    115.0        3285.497478      n    0   56   57  2283.535084
  298    111.0        3286.787317      n    0   56   55  2284.431567
  299      9.0        3289.912875      n    2    4    4  2286.603939
  300     13.0        3290.795769      n    2    5    6  2287.217581
  301    113.0        3293.785582      n    0   56   56  2289.295605
  302      9.0        3294.549528      n    2    5    4  2289.826574
  303     11.0        3300.076991      n    2    5    5  2293.668353
  304     15.0        3303.171965      n    2    6    7  2295.819468
  305     11.0        3306.426209      n    2    6    5  2298.081281
  306     13.0        3312.273498      n    2    6    6  2302.145350
  307     17.0        3317.540762      n    2    7    8  2305.806282
  308     83.0        3318.402585      n    1   40   41  2306.405279
  309     79.0        3319.583943      n    1   40   39  2307.226364
  310     13.0        3320.418375      n    2    7    6  2307.806323
  311     15.0        3326.502165      n    2    7    7  2312.034769
  312     81.0        3326.655589      n    1   40   40  2312.141404
  313     19.0        3333.912842      n    2    8    9  2317.185447
  314     15.0        3336.498814      n    2    8    7  2318.982788
  315     17.0        3342.762717      n    2    8    8  2323.336418
  316     21.0        3352.295232      n    2    9   10  2329.961848
  317     17.0        3354.650323      n    2    9    8  2331.598718
  318     19.0        3361.054840      n    2    9    9  2336.050080
  319     23.0        3372.692657      n    2   10   11  2344.138768
  320     19.0        3374.861594      n    2   10    9  2345.646255
  321     21.0        3381.378183      n    2   10   10  2350.175511
  322     25.0        3395.108324      n    2   11   12  2359.718437
  323     21.0        3397.124894      n    2   11   10  2361.120023
  324     85.0        3401.977147      n    1   41   42  2364.492508
  325    117.0        3402.042865      n    0   57   58  2364.538184
  326     81.0        3403.162924      n    1   41   40  2365.316664
  327    113.0        3403.343323      n    0   57   56  2365.442048
  328     23.0        3403.732356      n    2   11   11  2365.712439
  329     83.0        3410.233889      n    1   41   41  2370.231231
  330    115.0        3410.338081      n    0   57   57  2370.303648
  331     27.0        3419.544424      n    2   12   13  2376.702377
  332     23.0        3421.434718      n    2   12   11  2378.016197
  333     25.0        3428.116926      n    2   12   12  2382.660564
  334     29.0        3446.002436      n    2   13   14  2395.091616
  335     25.0        3447.786997      n    2   13   12  2396.331948
  336     27.0        3454.531427      n    2   13   13  2401.019561
  337     31.0        3474.483324      n    2   14   15  2414.886824
  338     27.0        3476.178602      n    2   14   13  2416.065101
  339     29.0        3482.975348      n    2   14   14  2420.789076
  340     87.0        3487.567171      n    1   42   43  2423.980553
  341     83.0        3488.757954      n    1   42   41  2424.808189
  342     85.0        3495.827956      n    1   42   42  2429.722086
  343     33.0        3504.987677      n    2   15   16  2436.088411
  344     29.0        3506.607039      n    2   15   14  2437.213924
  345     31.0        3513.448143      n    2   15   15  2441.968729
  346    119.0        3520.589375      n    0   58   59  2446.932134
  347    115.0        3521.900685      n    0   58   57  2447.843540
  348    117.0        3528.891844      n    0   58   58  2452.702639
  349     35.0        3537.515796      n    2   16   17  2458.696586
  350     31.0        3539.070247      n    2   16   15  2459.776983
  351     33.0        3545.949225      n    2   16   16  2464.558112
  352     37.0        3572.067761      n    2   17   18  2482.711404
  353     33.0        3573.566463      n    2   17   16  2483.753054
  354     89.0        3575.171029      n    1   43   44  2484.868283
  355     85.0        3576.367370      n    1   43   42  2485.699782
  356     35.0        3580.477968      n    2   17   17  2488.556790
  357     87.0        3583.436145      n    1   43   43  2490.612826
  358     39.0        3608.643471      n    2   18   19  2508.132795
  359     35.0        3610.094135      n    2   18   17  2509.141057
  360     37.0        3617.033707      n    2   18   18  2513.964301
  361    121.0        3641.134739      n    0   59   60  2530.715357
  362    117.0        3642.457119      n    0   59   58  2531.634457
  363     41.0        3647.242681      n    2   19   20  2534.960589
  364     37.0        3648.651856      n    2   19   18  2535.940015
  365    119.0        3649.444596      n    0   59   59  2536.490997
  366     39.0        3655.615738      n    2   19   19  2540.780155
  367     91.0        3664.787054      n    1   44   45  2547.154539
  368     87.0        3665.989468      n    1   44   43  2547.990259
  369     89.0        3673.056769      n    1   44   44  2552.902279
  370     43.0        3687.865022      n    2   20   21  2563.194530
  371     39.0        3689.238316      n    2   20   19  2564.149017
  372     41.0        3696.223319      n    2   20   20  2569.003837
  373     45.0        3730.510023      n    2   21   22  2592.834290
  374     41.0        3731.852276      n    2   21   20  2593.767202
  375     43.0        3738.855666      n    2   21   21  2598.634802
  376     93.0        3756.413538      n    1   45   46  2610.838134
  377     89.0        3757.622506      n    1   45   44  2611.678409
  378    123.0        3763.676650      n    0   60   61  2615.886250
  379     91.0        3764.688109      n    1   45   45  2616.589249
  380    119.0        3765.010310      n    0   60   59  2616.813190
  381    121.0        3771.994025      n    0   60   60  2621.667115
  382     47.0        3775.177125      n    2   22   23  2623.879480
  383     43.0        3776.492535      n    2   22   21  2624.793736
  384     45.0        3783.511959      n    2   22   22  2629.672480
  385     49.0        3821.865682      n    2   23   24  2656.329652
  386     45.0        3823.157927      n    2   23   22  2657.227807
  387     47.0        3830.191337      n    2   23   23  2662.116272
  388     95.0        3850.048733      n    1   46   47  2675.917853
  389     91.0        3851.264708      n    1   46   45  2676.762998
  390     93.0        3858.328402      n    1   46   46  2681.672511
  391     51.0        3870.574978      n    2   24   25  2690.184308
  392     47.0        3871.847289      n    2   24   23  2691.068608
  393     49.0        3878.892900      n    2   24   24  2695.965553
  394    125.0        3888.212757      n    0   61   62  2702.443178
  395    121.0        3889.557898      n    0   61   60  2703.378098
  396    123.0        3896.537776      n    0   61   61  2708.229356
  397     53.0        3921.304234      n    2   25   26  2725.442906
  398     49.0        3922.559465      n    2   25   24  2726.315335
  399     51.0        3929.615710      n    2   25   25  2731.219671
  400     97.0        3945.690849      n    1   47   48  2742.392452
  401     93.0        3946.914254      n    1   47   46  2743.242761
  402     95.0        3953.975844      n    1   47   47  2748.150812
  403     55.0        3974.052604      n    2   26   27  2762.104859
  404     51.0        3975.293293      n    2   26   25  2762.967181
  405     53.0        3982.358787      n    2   26   26  2767.877945
  406    127.0        4014.740672      n    0   62   63  2790.384482
  407    123.0        4016.097486      n    0   62   61  2791.327515
  408    125.0        4023.073459      n    0   62   62  2796.176059
  409     57.0        4028.819188      n    2   27   28  2800.169541
  410     53.0        4030.047599      n    2   27   26  2801.023329
  411     55.0        4037.121114      n    2   27   27  2805.939668
  412     99.0        4043.338054      n    1   48   49  2810.260658
  413     95.0        4044.569290      n    1   48   47  2811.116410
  414     97.0        4051.628596      n    1   48   48  2816.022873
  415     59.0        4085.603030      n    2   28   29  2839.636287
  416     55.0        4086.821191      n    2   28   27  2840.482951
  417     57.0        4093.901636      n    2   28   28  2845.404107
  418    101.0        4142.988483      n    1   49   50  2879.521174
  419    129.0        4143.257966      n    0   63   64  2879.708474
  420     97.0        4144.227926      n    1   49   48  2880.382630
  421     61.0        4144.403122      n    2   29   30  2880.504397
  422    125.0        4144.626639      n    0   63   62  2880.659749
  423     57.0        4145.612858      n    2   29   28  2881.345206
  424     99.0        4151.284779      n    1   49   49  2885.287388
  425    127.0        4151.598639      n    0   63   63  2885.505532
  426     59.0        4152.699257      n    2   29   29  2886.270500
  427     63.0        4205.218405      n    2   30   31  2922.773135
  428     59.0        4206.421364      n    2   30   29  2923.609234
  429     61.0        4213.512842      n    2   30   30  2928.538058
  430    103.0        4244.640223      n    1   50   51  2950.172671
  431     99.0        4245.888230      n    1   50   49  2951.040079
  432    101.0        4252.942470      n    1   50   50  2955.943021
  433     65.0        4268.047772      n    2   31   32  2966.441732
  434     61.0        4269.245450      n    2   31   30  2967.274160
  435    131.0        4273.762171      n    0   64   65  2970.413438
  436    127.0        4275.142879      n    0   64   63  2971.373078
  437     63.0        4276.341216      n    2   31   31  2972.205964
  438    129.0        4282.110845      n    0   64   64  2976.216057
  439     67.0        4332.890071      n    2   32   33  3011.509386
  440     63.0        4334.083822      n    2   32   31  3012.339085
  441     65.0        4341.183168      n    2   32   32  3017.273377
  442    105.0        4348.291324      n    1   51   52  3022.213793
  443    101.0        4349.548229      n    1   51   50  3023.087386
  444    103.0        4356.599711      n    1   51   51  3027.988411
  445     69.0        4399.744099      n    2   33   34  3057.975262
  446     65.0        4400.935163      n    2   33   32  3058.803093
  447    133.0        4406.250779      n    0   65   66  3062.497631
  448    129.0        4407.643692      n    0   65   64  3063.465754
  449     67.0        4408.037443      n    2   33   33  3063.739425
  450    131.0        4414.607566      n    0   65   65  3068.305889
  451    107.0        4453.939796      n    1   52   53  3095.643158
  452    103.0        4455.205919      n    1   52   51  3096.523157
  453    105.0        4462.254505      n    1   52   52  3101.422170
  454     71.0        4468.608613      n    2   34   35  3105.838496
  455     67.0        4469.798122      n    2   34   33  3106.665246
