# %ECSV 1.0
# ---
# datatype:
# - {name: dE, unit: K, datatype: float64}
# - {name: A, unit: 1 / s, datatype: float64}
# - {name: Ju, unit: '', datatype: int64}
# - {name: Jl, unit: '', datatype: int64}
# - {name: freq, unit: GHz, datatype: float64}
# - {name: vu, unit: '', datatype: int64}
# - {name: vl, unit: '', datatype: int64}
# - {name: lambda, unit: micron, datatype: float64}
# - {name: Tu, unit: K, datatype: float64}
# - {name: gu, datatype: float64}
# - {name: Line, datatype: string}
# - {name: Transition, datatype: string}
# - {name: species, datatype: string}
# meta: !!omap
# - comments: ['40        # Number of transitions', 'K         # Unit energy transitions', 'n     nu     nl                E(K)          Aij(s-1)             quant:
#       Ju    Jl   info:    Description', '---data-----------------------------------------------------------------------------------------------------',
#     '---end------------------------------------------------------', Utilisation des donnees de LAMDA - ER 2011, Frequencies from CDMS
#       - 18-01-06 - file=c030502.cat]
# - keywords: {}
# schema: astropy-2.0
dE A Ju Jl freq vu vl lambda Tu gu Line Transition species
3199.145525694482 19.23 44 43 66659.42662921002 1 0 4.49737528748307 8173.64725580966 174.0 C18Ov1-0J44-43 "v1-0 J44-43" 13CO
3202.1258418618645 19.3 45 44 66721.52638844121 1 0 4.49318944315902 8406.60235956719 178.0 C18Ov1-0J45-44 "v1-0 J45-44" 13CO
3205.0504702117973 19.37 46 45 66782.46580096385 1 0 4.48908938004013 8644.6002214422 182.0 C18Ov1-0J46-45 "v1-0 J46-45" 13CO
3207.9192193870986 19.44 47 46 66842.24087953797 1 0 4.4850749175253 8887.63201742267 186.0 C18Ov1-0J47-46 "v1-0 J47-46" 13CO
3210.7319023469176 19.51 48 47 66900.84772686189 1 0 4.48114587761237 9135.68892781294 190.0 C18Ov1-0J48-47 "v1-0 J48-47" 13CO
3213.48833061162 19.57 49 48 66958.28241565422 1 0 4.47730209295081 9388.76155596824 194.0 C18Ov1-0J49-48 "v1-0 J49-48" 13CO
3216.1883128240256 19.64 50 49 67014.54095867537 1 0 4.47354340880836 9646.84050236624 198.0 C18Ov1-0J50-49 "v1-0 J50-49" 13CO
3218.831661943281 19.71 51 50 67069.6194586232 1 0 4.46986967303354 9909.91637180097 202.0 C18Ov1-0J51-50 "v1-0 J51-50" 13CO
3221.418188050978 19.78 52 51 67123.51395823748 1 0 4.46628074606647 10177.9794784337 206.0 C18Ov1-0J52-51 "v1-0 J52-51" 13CO
3223.947704106265 19.84 53 52 67176.22056021626 1 0 4.46277649292979 10451.0197076705 210.0 C18Ov1-0J53-52 "v1-0 J53-52" 13CO
3226.4200187519577 19.9 54 53 67227.73527732035 1 0 4.4593567931945 10729.0269406013 214.0 C18Ov1-0J54-53 "v1-0 J54-53" 13CO
3228.8349463859795 19.96 55 54 67278.05424222512 1 0 4.4560215270293 11011.9910640708 218.0 C18Ov1-0J55-54 "v1-0 J55-54" 13CO
