|        ID|    Wave|  vu|  Ju| Fs140|e_Fs140|Fngc2023|e_Fngc2023| Fic63|e_Fic63|Fhorse|e_Fhorse|Forionbar|e_Forionbar|Transition|    Line|
|      char|  double|long|long|double| double|  double|    double|double| double|double|  double|   double|     double|      char|    char|
|          |        |    |    |      |       |        |          |      |       |      |        |         |           |          |        |
|      null|    null|null|null|  null|   null|    null|      null|  null|   null|  null|    null|     null|       null|      null|    null|
   7-5 O(6) 2.109001    7    4  0.052   0.007    0.067      0.007  0.069   0.012   null     null      null        null   7-5 O(6)   H275O6 
   7-5 Q(4) 1.760446    7    4  0.098   0.008      0.1      0.009  0.102   0.011   null     null     0.085       0.006   7-5 Q(4)   H275Q4 
   7-5 S(2) 1.588294    7    4  0.143    0.01    0.163      0.012  0.143   0.014  0.219    0.015      null        null   7-5 S(2)   H275S2 
   7-5 S(3)  1.56151    7    5  0.188   0.013    0.256      0.019  0.213    0.02  0.264    0.017     0.252       0.012   7-5 S(3)   H275S3 
   7-5 O(7) 2.204989    7    5  0.066   0.007    0.065      0.007  0.051   0.009  0.091    0.013     0.065       0.006   7-5 O(7)   H275O7 
   7-5 Q(5)  1.77839    7    5  0.126    0.01    0.158      0.014   0.09   0.012   null     null      null        null   7-5 Q(5)   H275Q5 
   7-5 O(8) 2.310862    7    6   null    null    0.015      0.003   null    null   null     null      null        null   7-5 O(8)   H275O8 
   7-5 S(4) 1.540006    7    6  0.085   0.006    0.109      0.008  0.107   0.011   null     null     0.081       0.005   7-5 S(4)   H275S4 
   7-5 O(9) 2.427661    7    7   null    null    0.023      0.004   null    null   null     null      null        null   7-5 O(9)   H275O9 
   7-5 S(5) 1.523623    7    7  0.102   0.007    0.184      0.013   null    null   null     null     0.193       0.009   7-5 S(5)   H275S5 
   7-5 S(6)  1.51224    7    8  0.024   0.003    0.063      0.005  0.053   0.007   null     null     0.054       0.004   7-5 S(6)   H275S6 
   7-5 S(7) 1.505784    7    9   null    null    0.123       0.01   null    null   null     null      null        null   7-5 S(7)   H275S7 
  7-5 Q(11)  1.97927    7   11   null    null    0.028      0.003  0.033   0.006   null     null     0.042       0.004  7-5 Q(11)  H275Q11 
   7-5 S(9) 1.507629    7   11   null    null    0.033      0.004   null    null   null     null      null        null   7-5 S(9)   H275S9 
  7-5 Q(13) 2.092904    7   13   null    null    0.014      0.002   null    null   null     null     0.023       0.003  7-5 Q(13)  H275Q13 
   8-6 O(2) 1.970799    8    0  0.272   0.024     null       null  0.195   0.023   null     null      null        null   8-6 O(2)   H286O2 
   8-6 O(3)  2.04183    8    1  0.355   0.032    0.304      0.029  0.276   0.031  0.394    0.032     0.204       0.015   8-6 O(3)   H286O3 
   8-6 S(0) 1.804886    8    2   null    null    0.097      0.009   null    null   null     null     0.118       0.008   8-6 S(0)   H286S0 
   8-6 O(4) 2.121592    8    2  0.195   0.018    0.173      0.017  0.139   0.016   0.23    0.021     0.109       0.009   8-6 O(4)   H286O4 
   8-6 S(1) 1.763952    8    3   null    null    0.137      0.012  0.151   0.018   null     null     0.127       0.009   8-6 S(1)   H286S1 
   8-6 O(5) 2.210762    8    3  0.143   0.015    0.149      0.016   0.12   0.016  0.146    0.023       0.1       0.009   8-6 O(5)   H286O5 
   8-6 S(2) 1.729672    8    4  0.093   0.008    0.096      0.008  0.073    0.01  0.229    0.023     0.069       0.005   8-6 S(2)   H286S2 
   8-6 O(6) 2.310167    8    4  0.046   0.006     0.05      0.006  0.031   0.007   null     null     0.029       0.004   8-6 O(6)   H286O6 
   8-6 S(3) 1.701803    8    5  0.077   0.006    0.121       0.01  0.111   0.012   null     null       0.1       0.006   8-6 S(3)   H286S3 
   8-6 Q(5) 1.943225    8    5  0.066   0.006     0.08      0.008  0.056   0.008   null     null      0.07       0.007   8-6 Q(5)   H286Q5 
   8-6 O(7) 2.420824    8    5   null    null    0.039      0.006   null    null   null     null      null        null   8-6 O(7)   H286O7 
   8-6 Q(6) 1.970468    8    6   null    null    0.027      0.004   null    null   null     null      null        null   8-6 Q(6)   H286Q6 
   8-6 S(4) 1.680153    8    6  0.042   0.004    0.043      0.004  0.042   0.006   null     null      null        null   8-6 S(4)   H286S4 
   8-6 Q(7) 2.003105    8    7   null    null    0.059      0.008   null    null   null     null      null        null   8-6 Q(7)   H286Q7 
   8-6 S(5) 1.664584    8    7   0.06   0.005    0.074      0.006  0.086   0.009   null     null     0.069       0.004   8-6 S(5)   H286S5 
   8-6 S(6) 1.655023    8    8   null    null    0.036      0.003   null    null   null     null      null        null   8-6 S(6)   H286S6 
   8-6 Q(8) 2.041614    8    8   null    null    0.016      0.002   null    null   null     null      null        null   8-6 Q(8)   H286Q8 
